Username,Uploads,Views
b'T-Series',"b'15,338'","b'152,954,796,472'"
b'Cocomelon - Nursery Rhymes',b'635',"b'100,483,247,970'"
b'SET India',"b'55,863'","b'86,435,162,095'"
b'WWE',"b'54,635'","b'58,152,893,189'"
b'Like Nastya',b'575',"b'57,152,155,198'"
b'\xe2\x9c\xbf Kids Diana Show',b'853',"b'55,642,086,193'"
b'Sony SAB',"b'35,386'","b'52,945,440,317'"
b'Movieclips',"b'37,173'","b'51,177,510,394'"
b'Vlad and Niki',b'353',"b'47,940,016,784'"
"b""Ryan's World""","b'1,970'","b'46,859,418,867'"
b'netd m\xc3\xbczik',"b'15,548'","b'42,996,962,308'"
b'ABS-CBN Entertainment',"b'156,763'","b'42,133,292,304'"
b'El Reino Infantil',b'993',"b'40,065,110,796'"
b'Zee Music Company',"b'5,418'","b'37,042,135,345'"
b'Canal KondZilla',"b'1,844'","b'34,096,844,432'"
b'Little Baby Bum - Nursery Rhymes &\xe2\x80\xa6',"b'1,529'","b'32,980,895,204'"
b'Colors TV',"b'54,010'","b'32,867,746,542'"
b'ChuChu TV Nursery Rhymes & Kids So\xe2\x80\xa6',b'409',"b'31,236,168,070'"
b'Wave Music',"b'18,572'","b'30,887,295,670'"
b'WorkpointOfficial',"b'55,005'","b'30,166,183,841'"
b'Toys and Colors',b'588',"b'28,751,091,696'"
b'\xd0\x9c\xd0\xb0\xd1\x88\xd0\xb0 \xd0\xb8 \xd0\x9c\xd0\xb5\xd0\xb4\xd0\xb2\xd0\xb5\xd0\xb4\xd1\x8c',b'947',"b'28,341,323,965'"
b'Super Simple Songs - Kids Songs',b'546',"b'27,647,566,884'"
b'PewDiePie',"b'4,321'","b'27,240,763,612'"
b'Get Movies',"b'2,973'","b'25,721,707,083'"
b'Justin Bieber',b'221',"b'24,800,740,790'"
b'Shemaroo Filmi Gaane',"b'7,027'","b'24,359,094,568'"
"b""Pinkfong! Kids' Songs & Stories""","b'1,796'","b'23,491,129,065'"
b'one31',"b'108,277'","b'23,421,723,678'"
b'Ed Sheeran',b'164',"b'23,368,326,154'"
b'JustinBieberVEVO',b'184',"b'22,843,124,396'"
b'LooLoo Kids - Nursery Rhymes and C\xe2\x80\xa6',b'497',"b'22,416,791,379'"
b'YRF',"b'2,842'","b'22,363,630,952'"
b'Taylor Swift',b'188',"b'22,066,293,774'"
b'GMANetwork',"b'96,624'","b'22,028,736,974'"
b'Katy Perry',b'107',"b'21,826,433,695'"
b'\xd9\x82\xd9\x86\xd8\xa7\xd8\xa9 \xd8\xb7\xd9\x8a\xd9\x88\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xac\xd9\x86\xd8\xa9 | toy\xe2\x80\xa6',"b'2,942'","b'21,661,539,348'"
b'TheEllenShow',"b'12,996'","b'21,592,627,565'"
b'KatyPerryVEVO',b'162',"b'20,989,911,679'"
b'TaylorSwiftVEVO',b'195',"b'20,843,200,412'"
b'Shakira',b'252',"b'20,652,997,358'"
b'SMTOWN',"b'3,689'","b'20,579,853,197'"
b'Ch3Thailand',"b'80,402'","b'20,478,615,142'"
b'5-Minute Crafts',"b'4,702'","b'20,194,959,248'"
b'GMM GRAMMY OFFICIAL',"b'9,210'","b'20,153,986,358'"
b'Speed Records',"b'9,251'","b'20,060,695,819'"
b'Tips Official',"b'3,029'","b'20,013,401,047'"
b'shakiraVEVO',b'170',"b'19,772,142,035'"
b'1theK (\xec\x9b\x90\xeb\x8d\x94\xec\xbc\x80\xec\x9d\xb4)',"b'14,418'","b'19,736,107,437'"
b'FGTeeV',"b'1,459'","b'19,665,343,548'"
